No.;CrDeviceProperty;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
56;:ref:`CrDeviceProperty_MediaSLOT1_RemainingTime<dp-MediaSLOT1_RemainingTime>`;Media SLOT1 Remaining shooting time;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
57;:ref:`CrDeviceProperty_MediaSLOT1_FormatEnableStatus<dp-MediaSLOT1_FormatEnableStatus>`;Media SLOT1 Format Enable Status;R/T;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔
58;:ref:`CrDeviceProperty_MediaSLOT1_QuickFormatEnableStatus<dp-MediaSLOT1_QuickFormatEnableStatus>`;Media SLOT1 Quick Format Enable Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-
59;:ref:`CrDeviceProperty_MediaSLOT2_Status<dp-MediaSLOT2_Status>`;Media SLOT2 Status;R/T;\-;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
60;:ref:`CrDeviceProperty_MediaSLOT2_RemainingNumber<dp-MediaSLOT2_RemainingNumber>`;Media SLOT2 Remaining number shots;R/T;\-;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
61;:ref:`CrDeviceProperty_MediaSLOT2_RemainingTime<dp-MediaSLOT2_RemainingTime>`;Media SLOT2 Remaining shooting time;R/T;\-;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
62;:ref:`CrDeviceProperty_MediaSLOT2_FormatEnableStatus<dp-MediaSLOT2_FormatEnableStatus>`;Media SLOT2 Format Enable Status;R/T;\-;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-
63;:ref:`CrDeviceProperty_MediaSLOT2_QuickFormatEnableStatus<dp-MediaSLOT2_QuickFormatEnableStatus>`;Media SLOT2 Quick Format Enable Status;R/T;\-;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-
64;:ref:`CrDeviceProperty_Media_FormatProgressRate<dp-Media_FormatProgressRate>`;Media Format Progress Rate;R/T;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔
65;:ref:`CrDeviceProperty_AF_Area_Position<dp-AF_Area_Position>`;AF Area Position (x, y);R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
66;:ref:`CrDeviceProperty_Zoom_Scale<dp-Zoom_Scale>`;Zoom Scale;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
67;:ref:`CrDeviceProperty_Zoom_Setting<dp-Zoom_Setting>`;Zoom Setting;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;✔;✔;✔;\-;✔;✔;✔;✔
68;:ref:`CrDeviceProperty_Zoom_Operation<dp-Zoom_Operation>`;Zoom Operation;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔
69;:ref:`CrDeviceProperty_Movie_File_Format<dp-Movie_File_Format>`;File Format (Movie);R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\*1;✔;✔;✔;✔;\*1;\*1;\*1;\*1;\*1;✔;✔;✔;✔
70;:ref:`CrDeviceProperty_Movie_Recording_Setting<dp-Movie_Recording_Setting>`;Recording Setting (Movie);R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
71;:ref:`CrDeviceProperty_Movie_Recording_FrameRateSetting<dp-Movie_Recording_FrameRateSetting>`;Recording Frame Rate Setting (Movie);R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;\*1;✔;✔;✔;✔;\*1;\*1;\*1;✔;✔;✔;✔;✔;\-
72;:ref:`CrDeviceProperty_Interval_Rec_Status<dp-Interval_Rec_Status>`;Interval REC (Still) Status;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
73;:ref:`CrDeviceProperty_CustomWB_Execution_State<dp-CustomWB_Execution_State>`;Custom WB Execution State;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
74;:ref:`CrDeviceProperty_CustomWB_Capturable_Area<dp-CustomWB_Capturable_Area>`;Custom WB Capturable Area (x, y);R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
75;:ref:`CrDeviceProperty_CustomWB_Capture_Frame_Size<dp-CustomWB_Capture_Frame_Size>`;Custom WB Capture Frame Size (x, y);R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
76;:ref:`CrDeviceProperty_CustomWB_Capture_Operation<dp-CustomWB_Capture_Operation>`;Custom WB Capture Operation Enable Status;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
77;:ref:`CrDeviceProperty_Zoom_Operation_Status<dp-Zoom_Operation_Status>`;Zoom Operation Enable Status;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
78;:ref:`CrDeviceProperty_Zoom_Bar_Information<dp-Zoom_Bar_Information>`;Zoom Bar Information;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
79;:ref:`CrDeviceProperty_Zoom_Type_Status<dp-Zoom_Type_Status>`;Zoom Type Status;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
80;:ref:`CrDeviceProperty_RAW_FileCompressionType<dp-RAW_FileCompressionType>`;RAW File Type;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-
81;:ref:`CrDeviceProperty_MediaSLOT1_RAW_FileCompressionType<dp-MediaSLOT1_RAW_FileCompressionType>`;Media Slot1 RAW File Type;R/T;\-;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
82;:ref:`CrDeviceProperty_MediaSLOT2_RAW_FileCompressionType<dp-MediaSLOT2_RAW_FileCompressionType>`;Media Slot2 RAW File Type;R/T;\-;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
83;:ref:`CrDeviceProperty_Cancel_Media_FormatEnableStatus<dp-Cancel_Media_FormatEnableStatus>`;Cancel Media Format Enable Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-
84;:ref:`CrDeviceProperty_ZoomAndFocusPosition_Save<dp-ZoomAndFocusPosition_Save>`;Save Zoom and Focus Position;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
85;:ref:`CrDeviceProperty_ZoomAndFocusPosition_Load<dp-ZoomAndFocusPosition_Load>`;Load Zoom and Focus Position;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
86;:ref:`CrDeviceProperty_Remocon_Zoom_Speed_Type<dp-Remocon_Zoom_Speed_Type>`;Remote Control Zoom Speed Type;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
87;:ref:`CrDeviceProperty_Zoom_Speed_Range<dp-Zoom_Speed_Range>`;Zoom Speed Range;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-
88;:ref:`CrDeviceProperty_SdkControlMode<dp-SdkControlMode>`;Sdk Control Mode;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
89;:ref:`CrDeviceProperty_ContentsTransferStatus<dp-ContentsTransferStatus>`;Get content accessibility status;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
90;:ref:`CrDeviceProperty_ContentsTransferCancelEnableStatus<dp-ContentsTransferCancelEnableStatus>`;Cancel Content transfer Enable Status;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
91;:ref:`CrDeviceProperty_ContentsTransferProgress<dp-ContentsTransferProgress>`;Content transfer Progress;C;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
92;:ref:`CrDeviceProperty_IrisModeSetting<dp-IrisModeSetting>`;Iris Mode Setting;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
93;:ref:`CrDeviceProperty_ShutterModeSetting<dp-ShutterModeSetting>`;Shutter Mode Setting;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
94;:ref:`CrDeviceProperty_GainControlSetting<dp-GainControlSetting>`;Gain Control Setting;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-
95;:ref:`CrDeviceProperty_GainBaseIsoSensitivity<dp-GainBaseIsoSensitivity>`;Gain Base ISO Sensitivity;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;\-;\-;\-;\-
96;:ref:`CrDeviceProperty_GainBaseSensitivity<dp-GainBaseSensitivity>`;Gain Base Sensitivity;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-;\-;\-;\-
97;:ref:`CrDeviceProperty_ExposureIndex<dp-ExposureIndex>`;Exposure Index;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;\-;\-;\-;\-
