No.;APIs;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
101;:ref:`SetStreamSettingList<api-set-stream-setting-list>`;Update Stream setting lists.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
102;:ref:`UploadCustomGridLineFile<api-upload-custom-grid-line-file>`;Upload CustomGridLineFile;R/T;\-;✔;✔;✔;\-;✔;\-;\-;\-;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
103;:ref:`ControlGeneralSettingFile<api-control-general-setting-file>`;Control general setting file.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
104;:ref:`RequestControlGeneralSettingResultFile<api-request-control-general-setting-result-file>`;Request the result file of ControlGeneralSettingFile.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
105;:ref:`GetControlGeneralSettingResultFile<api-get-control-general-setting-result-file>`;Get the result file of ControlGeneralSettingFile.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
106;:ref:`RequestOperation<api-request-operation>`;Execute specified operation. For operation compatibility status, see the :ref:`Operation Code List<operation-code-list>`.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
107;:ref:`ReleaseOperationResultObject<api-release-operation-result-object>`;Release the object that result of RequestOperation.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
108;:ref:`GetSelectControlCode<api-get-select-control-code>`;Specify and read the control code from the camera.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
109;:ref:`GetSupportedControlCodes<api-get-supported-control-codes>`;Read supported control codes.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
110;:ref:`ReleaseControlCodes<api-release-control-codes>`;Release the CrControlCodeInfo objects allocated by GetSupportedControlCodes/GetSelectControlCode.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
111;:ref:`ExecuteControlCodeValue<api-execute-control-code-value>`;Execute specified control code that type of numeric. For Control Code compatibility status, see the :ref:`Control Code List<control-code-list>`.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
112;:ref:`ExecuteControlCodeString<api-execute-control-code-string>`;Execute specified control code that type of string. For Control Code compatibility status, see the :ref:`Control Code List<control-code-list>`.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
113;:ref:`PullPostViewImage<api-pull-post-view-image>`;Get PostView image data from RAM in the SDK.;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
114;:ref:`GetCommandQueueCount<api-get-command-queue-count>`;Get command queue count in the SDK.;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
